filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized,dxt5
000dbebc,d141f6b9c3df813d60056b226ddf0e19bfd2934d,5053ff86482bb1ca1c457ffa0e3c39b27f3c3caf,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000dd02c,2463dd45e2b014d3d5598171718e96ff64406f4c,5f09420b9e12d878b8f9fc417d73e52357f43767,true,ps2 textures\HAS ALPHA\same sha1\no_mip_fixes\ui,false,true,5,remarci_4x_extra_smooth,false,0,false,false
000eab46,0230718fd7017f161e899b1d2f7b62fcc32e871e,d9fdb06dd902d4d09b05e0c3e8ec7ccf2ef0b017,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000ecbfd.img,068b028415a8c35cef54a9b358fb2c4859773bac,7bf9043af75a261bba6ddb77d4a561693a0ad0f6,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000ef413,0b8d93436770cc8297fe077512e0a8e902114b05,b0e0da45ea5a1e15c32b5e3398acb5f23c6f6fbb,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000efe46,b84a787fede1c03009123a96682a83e0661c54bf,707695318a4fd306c04192225c0febdda8e4a6cc,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0010363e,59ea8d1243663126b79364db281ac986536fe08d,c0456a77dd9dc765ab849100d18792ee695c8877,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00104da1.img,9c890b31ead8909e142b8657fafb7329715fba6a,626c50d09b527a97e5f5bae9be49af3dfb3cf07f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0010b399,f33141d29829760ea6640ab7cb04d96b15c53bba,e3723a0013db78bf06afa8981cfbe3cdb8ff6c2f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0010d484,cf57515045f5e98c51789ee6151c80b00d8e9da8,55de65f798b89cfda6e608537fd1fcfdefa78119,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0010eab5.img,973ead044e8b7f8339468348fdf01297a99a7393,8bccb109e70454c9efc612890265fb36dfdcfea7,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00113632,6a8df1d6500f13686d6188e8d27289cb4d484ccd,1be51a983b7a28f62c9f883851de1bda033dab03,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
0011366c,ea65e638d4e3fbe58f1165a5b6b6da3a73ab26e0,a26be75e358a44f06fc66604a50a17226616b171,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00114c3b,5aaeda030fe44e86e326b996b5e9befe6cfbbe27,fe16d438cf127f8e11b43d1bb8fba937401ec741,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
001184f1,3275dc998b6c17351d510989ed79340214bf2fba,e0925692aa4300dff10a4bdd1293844edbfb669d,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0011b5d7,784c07fa908c566335a2ed9ef6b3c590db9ff112,e2dcb7051ab8e118b00ab720048ee61b0dca4e13,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0011b626,412b49806c8540433c44bc4577df7cbb9e3483b6,2072b8d34a5dc61f3233112dc1542b8816815ca4,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00123b67,02211b7ca3752c2ca332d6cfc79516326da348a6,bfbc65e89692ed196667db8e5ac1f4618b2a8967,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00125003,ec341301713ee0182286fca44ea1a3d9c7f18d37,994eb59137c68646c96fb9f9dca76e97742c1b9f,true,ps2 textures\OPAQUE\same sha1\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
001260c2,5f9e6e35e458342d8a289bf09d73a91d9a4dc942,9fb0fca3e3c46a34470d3f8fa9a6a72b0c620a39,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
001292a2,3eb6500beae8621899da76035abd4b48e64afa52,6a4c8df76257f9040c5bd11f84b21be0ad098ce3,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0012a3f2,812d08596232375b3a945ee4f105c31ed377cf25,757641ae97354d88d578c26db12dd6f921c3638f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0012a655,23adc1f17b5a1935e79981fdabf4a67f76baa023,20dc656420b70bdda066b8474ae173302608d467,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0012b5d7,13cff2032287497c2334a7f65567566fc05553b6,ee88c769a87cfd769587b5239f24f352660f035f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0012b626,326909c6ae9f72d97ee720fef3acece275e605b5,1e50eb6dba010c3597654e52a8f9ed5001c86949,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0012c0b4,3e9d1f523032859edf92dea771918b70a8ecb6b1,662da99d0a52cb90c324c32d0bf0bd46d1848ce0,true,ps2 textures\OPAQUE\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
0012d046,b606292bba5e5aa67be486c70c6d1bd9d4538df5,0ab6967e4431e43fab4dfa311d690a9f763e7751,true,ps2 textures\HAS ALPHA\same sha1\no_mip_fixes\ui,false,true,5,remarci_4x_extra_smooth,false,0,false,false
00135a88,50a7e9d429b3a252353c7cb208e575c517a720f5,84ef9ef908df658cd0e057f344ff227428f6ad1f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0013709b,a2e999ddd8173d2d1825f7235d3a299df5cd5389,af4645beb612a6ebbff76ab85552eb77b3aaf08a,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0013def6.img,821f43ca40ba39ca8f22ff06593a5d187065cd88,e20ca4ab3210d1d7e7673a46be40e15b3ed36463,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00141e76,5b221535a8227243a16a5d2b633be91ab77f1736,562262a2881dba0fdfe7394dba1afa59a0dccd8c,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00154e27,be1020880b8349b0302ac7d087c796011ae9797f,f573c2801d8757f0b222a8112d1934b551f56e46,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00154e2b,a49bc20848b8dbbf83da5cc416f3dd697a901ce2,4518a4730cd78932cd677abdc7f485b8876e5ffd,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00154e2f,93c4dec1c1d151270b2e0ca87226eea85824a376,f4c6e490d83b935dd72a6bff5cc3f9150fffe3b0,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00155d88,1b9f0240cc984e623ba9c49ab7e3a13e3dd9d836,345706f6c42181990a62acfe1f74659f9e1933a2,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00163d74,1f63f84fa2870a75297872ac5d8619257a29dfd4,52dfa762ac6911acfec6ae0ba7691a2b4be9916f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00163fb5,fecaaa5d0edd1389b9781158db1d8d792ea1b2ef,581a1250608d42434a7d4bf3f7f1f7259c55a5c2,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0016829d.img,4926b98299a27fe7fd0b763b591f5da75f44f0ec,e4c81e1272d5e94edb0489e23cb94568e0976152,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0016ae13.img,bb70c8f5f29bba4e3f0f60c096b0f7a33a82bdb0,570e31c9c8b524c1ad8dc6c946a89c24f0bfeba6,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0016df98,b25a24d017339a14cb7da78db5558faba207ae42,5ced59f8548f928a1e3cd7dd9429be5b430e5bb5,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
001703cb,0dae4cd887b082b8876c4f57d03c8b8f3ed4b41c,c2494d4f9e7745ad4bf5a07bcf25219567eeab06,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00178752,0b51bbbf2fa41432fa6fcfd01fd9b305b2e9af1d,dd40dbe84b045b8e5f45c4e016f349ce9b1704cf,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00184159,f702d0372a19a523ade2da168e41b2197b24e74c,140ab320fc633ad5c467f2978d39c7f1b40faa38,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
0018e2e5,cb7c437a044524d00cca2208762c3d53c9aed617,ece179a9acc94fe560a9d776284bc2d9a63d6952,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0019115b,1252a6d5d8e347b8989bcf7dd59502c9f9c21193,683eab2377df53f332830afa2de9fedf36d9dd0a,true,ps2 textures\HAS ALPHA\manual\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00194261,a2ed1b8fafb56f09bc6d1273e53bbd62fea72abc,48830cba541f046d260bf23e9049b6c048b8757f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00195db5,a3160cd33547a233c9d1edc9aa0ac2060a66639d,07335c79526e1a5d845fc54e3b36393079a3a74a,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0019800b,ac83f8c83c2ba17b4b7c0a37f7a22a9fa2f4f5db,37943babf90f21275655747461c1575a23a8ebd5,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
001a1821,bb1f1817727e130550a670fc8de87a501b4ada34,457ae8fa62f1a9e5f48948686d0093063ffd635d,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
001a72b5,68ed77bddfa6365fd639d425f3f91bc8796c5051,1b0e6efc72e462c8817399afa949e96eef42a255,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
001a9cc0.img,1201c9e853de2f4474daa184eb54514513a0004a,23ba2f9391c84ae42f02ed145f099268f5cb3714,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
